Product,Business Location,Unit Purchase Price,Selling Price,Current stock,Product Type,Category,Brand,Tax,SKU
S2160 Saffron,BEST PRICE SHOP,KSh 700,KSh 730,0 pieces,Single,FEATURE PHONES,SAFFRON,,20046
S2160 Samhe.,BEST PRICE SHOP,KSh 750,KSh 790,0 pieces,Single,FEATURE PHONES,SAMHE,,18620
S2163 Saffron,BEST PRICE SHOP,KSh 700,KSh 730,10 pieces,Single,FEATURE PHONES,SAFFRON,,20047
S2173 Saffron,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,FEATURE PHONES,SAFFRON,,20048
S2173 Samhe.,BEST PRICE SHOP,KSh 760,KSh 800,-21 pieces,Single,,,,18382
S2175 Saffron,BEST PRICE SHOP,KSh 700,KSh 740,-1 pieces,Single,,,,20527
S2175 Samhe,BEST PRICE SHOP,KSh 700,KSh 740,0 pieces,Single,FEATURE PHONES,SAMHE,,20526
S2176 Samhe,BEST PRICE SHOP,KSh 770,KSh 810,0 pieces,Single,,,,18676
S2183 Samhe,BEST PRICE SHOP,KSh 780,KSh 820,0 pieces,Single,,,,18349
S2184 Samhe.,BEST PRICE SHOP,KSh 780,KSh 820,-2 pieces,Single,,,,18320
S2191 Samhe,BEST PRICE SHOP,KSh 770,KSh 810,0 pieces,Single,,,,18361
S2192 Samhe.,BEST PRICE SHOP,KSh 780,KSh 810,1 pieces,Single,,,,18397
S22 16/2 Maxfone,BEST PRICE SHOP,"KSh 6,300","KSh 6,500",4 pieces,Single,SMART PHONES,MAXFONE,,26067
S22 Sowhat,BEST PRICE SHOP,"KSh 3,050","KSh 3,250",0 pieces,Single,FEATURE PHONES,SOWHAT,,24635
S2201 Samhe,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,,,,18341
S2202 Samhe.,BEST PRICE SHOP,KSh 800,KSh 830,-3 pieces,Single,,,,18220
S2203 Samhe.,BEST PRICE SHOP,KSh 800,KSh 840,-13 pieces,Single,,,,18221
S2205 Samhe.,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,,,,18219
S2206 Samhe,BEST PRICE SHOP,KSh 800,KSh 830,-20 pieces,Single,,,,18222
S23 128/4 Itel,BEST PRICE SHOP,"KSh 12,000","KSh 12,200",10 pieces,Single,SMART PHONES,ITEL,,21484
S23+ 256/8 Itel,BEST PRICE SHOP,"KSh 22,500","KSh 23,000",10 pieces,Single,SMART PHONES,ITEL,,32934
S2320 Saffron,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,FEATURE PHONES,SAFFRON,,22535
S23Mini Xtigi,BEST PRICE SHOP,"KSh 1,070","KSh 1,120",1 pieces,Single,,,,17588
S3 Excelent,BEST PRICE SHOP,KSh 400,KSh 450,-1 pieces,Single,,,,16882
S301 Saffron,BEST PRICE SHOP,KSh 700,KSh 730,0 pieces,Single,,,,20528
S310E Samhe,BEST PRICE SHOP,KSh 730,KSh 770,0 pieces,Single,FEATURE PHONES,SAMHE,,18377
S311V Siccoo.,BEST PRICE SHOP,"KSh 1,844","KSh 2,000",18 pieces,Single,,,,18474
S315 Samhe,BEST PRICE SHOP,KSh 790,KSh 830,0 pieces,Single,FEATURE PHONES,SAMHE,,18199
S316 Samhe.,BEST PRICE SHOP,KSh 790,KSh 830,0 pieces,Single,FEATURE PHONES,SAMHE,,18181
S317 Samhe,BEST PRICE SHOP,KSh 790,KSh 820,2 pieces,Single,,,,18632
S32 8/1,CARLCARE,KSh 0,"KSh 6,500",1 pieces,Single,SMART PHONES,ITEL,,23055
S321 Samhe.,BEST PRICE SHOP,KSh 790,KSh 830,0 pieces,Single,FEATURE PHONES,SAMHE,,24162
S322 Samhe,BEST PRICE SHOP,KSh 790,KSh 830,0 pieces,Single,FEATURE PHONES,SAMHE,,24161
S3310 Samhe.,BEST PRICE SHOP,KSh 750,KSh 790,0 pieces,Single,FEATURE PHONES,SAMHE,,18489
S3340 Samhe.,BEST PRICE SHOP,KSh 820,KSh 870,-3 pieces,Single,,,,18180
S352 Saffron,BEST PRICE SHOP,KSh 700,KSh 730,-51 pieces,Single,,,,20529
S3530 Sicooo,BEST PRICE SHOP,"KSh 1,807","KSh 1,950",22 pieces,Single,,,,18484
S3531 Siccoo,BEST PRICE SHOP,"KSh 1,810","KSh 1,950",11 pieces,Single,,,,18475
